L -2151.569, 2577.991, -0.7191, -2028.182, 2462.669, -0.7191,  127, 127, 127
L -2036.058, 2701.758, -0.7191, -2151.569, 2577.991, -0.7191,  127, 127, 127
L -1912.136, 2586.888, -0.7191, -2036.058, 2701.758, -0.7191,  127, 127, 127
L -2027.891, 2462.434, -0.7191, -1912.136, 2586.888, -0.7191,  127, 127, 127
L -2283.401, 2453.62, -0.7191, -2169.32, 2329.624, -0.7191,  127, 127, 127
L -2159.918, 2569.22, -0.7191, -2283.401, 2453.62, -0.7191,  127, 127, 127
L -2044.317, 2445.481, -0.7191, -2159.918, 2569.22, -0.7191,  127, 127, 127
L -2169.011, 2329.819, -0.7191, -2044.317, 2445.481, -0.7191,  127, 127, 127
L -2454.43, 1839.378, 89.2807, -2308.411, 1924.11, 89.2807,  127, 127, 127
L -2538.633, 1985.501, 91.2450, -2454.43, 1839.378, 89.2807,  127, 127, 127
L -2393.84, 2069.92, 89.2807, -2538.633, 1985.501, 91.2450,  127, 127, 127
L -2308.571, 1924.385, 89.2807, -2393.84, 2069.92, 89.2807,  127, 127, 127
L -2029.218, 1781.496, 59.2807, -2047.548, 1616.878, 59.2807,  127, 127, 127
L -1863.061, 1765.774, 59.2807, -2029.218, 1781.496, 59.2807,  127, 127, 127
L -1878.433, 1598.257, 59.2807, -1863.061, 1765.774, 59.2807,  127, 127, 127
L -2045.929, 1614.158, 59.2807, -1878.433, 1598.257, 59.2807,  127, 127, 127
L -143.519, -706.683, 44.2807, -212.393, -862.414, 44.2807,  127, 127, 127
L -298.995, -639.742, 44.2807, -143.519, -706.683, 44.2807,  127, 127, 127
L -366.905, -794.548, 44.2807, -298.995, -639.742, 44.2807,  127, 127, 127
L -211.717, -863.182, 44.2807, -366.905, -794.548, 44.2807,  127, 127, 127
L 558.512, -941.161, 91.2807, 559.261, -773.421, 91.2807,  127, 127, 127
L 390.116, -773.378, 91.2807, 389.672, -941.549, 91.2807,  127, 127, 127
L 558.727, -773.503, 91.2807, 390.116, -773.378, 91.2807,  127, 127, 127
L 389.16, -942.941, 91.2807, 558.984, -942.887, 91.2807,  127, 127, 127
L 394.189, -1031.635, 91.2807, 395.242, -1201.93, 91.2807,  127, 127, 127
L 564.096, -1031.967, 91.2807, 394.189, -1031.635, 91.2807,  127, 127, 127
L 563.816, -1200.616, 91.2807, 564.096, -1031.967, 91.2807,  127, 127, 127
L 394.256, -1200.695, 91.2807, 563.816, -1200.616, 91.2807,  127, 127, 127
L 561.174, -1291.803, 91.2807, 392.023, -1292.479, 91.2807,  127, 127, 127
L 559.843, -1460.736, 91.2807, 561.174, -1291.803, 91.2807,  127, 127, 127
L 390.387, -1460.247, 91.2807, 559.843, -1460.736, 91.2807,  127, 127, 127
L 391.049, -1291.707, 91.2807, 390.387, -1460.247, 91.2807,  127, 127, 127
L 214.13, -1120.64, 64.2807, 44.644, -1120.971, 64.2807,  127, 127, 127
L 213.157, -952.441, 64.2807, 214.13, -1120.64, 64.2807,  127, 127, 127
L 44.625, -951.586, 64.2807, 213.157, -952.441, 64.2807,  127, 127, 127
L 44.16, -1120.406, 64.2807, 44.625, -951.586, 64.2807,  127, 127, 127
L 192.85, -1335.126, 64.2807, 25.097, -1334.579, 64.2807,  127, 127, 127
L 191.996, -1503.507, 64.2807, 192.85, -1335.126, 64.2807,  127, 127, 127
L 23.414, -1504.56, 64.2807, 191.996, -1503.507, 64.2807,  127, 127, 127
L 24.545, -1335.561, 64.2807, 23.414, -1504.56, 64.2807,  127, 127, 127
L 78.704, -1321.941, 64.2807, -88.32, -1320.991, 64.2807,  127, 127, 127
L 78.733, -1153.143, 64.2807, 78.704, -1321.941, 64.2807,  127, 127, 127
L -89.443, -1152.585, 64.4110, 78.733, -1153.143, 64.2807,  127, 127, 127
L -89.284, -1322.775, 64.2807, -89.443, -1152.585, 64.4110,  127, 127, 127
L 93.047, -2639.665, -101.5648, 261.893, -2638.475, -100.7190,  127, 127, 127
L 94.663, -2471.631, -101.4689, 93.047, -2639.665, -101.5648,  127, 127, 127
L 262.907, -2471.286, -100.7188, 94.663, -2471.631, -101.4689,  127, 127, 127
L 262.095, -2639.32, -100.7190, 262.907, -2471.286, -100.7188,  127, 127, 127
L 505.793, -2721.452, -100.4133, 433.89, -2873.874, -99.6269,  127, 127, 127
L 353.961, -2649.825, -100.7190, 505.793, -2721.452, -100.4133,  127, 127, 127
L 281.629, -2801.247, -100.7190, 353.961, -2649.825, -100.7190,  127, 127, 127
L 434.703, -2873.78, -99.6436, 281.629, -2801.247, -100.7190,  127, 127, 127
L 502.026, -3257.533, -1.7192, 501.133, -3088.856, -1.7192,  127, 127, 127
L 669.833, -3254.972, -1.7192, 502.026, -3257.533, -1.7192,  127, 127, 127
L 669.032, -3087.501, -1.7192, 669.833, -3254.972, -1.7192,  127, 127, 127
L 501.018, -3087.534, -1.7192, 669.032, -3087.501, -1.7192,  127, 127, 127
L 307.129, -2886.673, -100.7190, 138.52, -2885.665, -100.7190,  127, 127, 127
L 307.428, -3054.627, -100.1784, 307.129, -2886.673, -100.7190,  127, 127, 127
L 140.391, -3054.14, -100.7190, 307.428, -3054.627, -100.1784,  127, 127, 127
