P 148, 500, 0,  0, 0, 0,  2,  Map_by_Goodurden
L -556.0000, 277.6423, 0.0000,  -556.0000, 242.4546, 0.0000,  0, 0, 0
L -611.0000, 261.0000, 2.0000,  -610.9999, 290.8546, 1.0000,  0, 0, 0
L -566.0000, 261.0000, 0.0000,  -611.0000, 261.0000, 0.0000,  0, 0, 0
L -565.9999, 276.1440, 0.0000,  -566.0000, 261.0000, 0.0000,  0, 0, 0
L -565.9999, 276.1440, 0.1062,  -563.1450, 276.1445, 0.1062,  0, 0, 0
L -563.1450, 276.1445, 0.1062,  -563.1447, 277.6469, 0.1062,  0, 0, 0
L -563.1456, 289.3525, 0.1062,  -563.1444, 290.8557, 0.1062,  0, 0, 0
L -563.1444, 290.8557, 0.1062,  -610.9999, 290.8546, 0.1062,  0, 0, 0
L -557.3539, 289.3571, 0.1062,  -563.1456, 289.3525, 0.1062,  0, 0, 0
L -556.0000, 277.6423, 0.1062,  -563.1447, 277.6469, 0.1062,  0, 0, 0
L -557.3539, 289.3571, 0.1062,  -557.3562, 323.1690, 0.1062,  0, 0, 0
L -557.3562, 323.1690, 0.1062,  -541.7048, 338.8566, 0.1062,  0, 0, 0
L -541.7048, 338.8566, 0.1062,  -462.2413, 338.8315, 0.1062,  0, 0, 0
L -462.2413, 338.8315, 0.1062,  -446.6443, 323.1906, 0.1062,  0, 0, 0
L -446.6443, 323.1906, 0.1062,  -446.6909, 227.7206, 0.1062,  0, 0, 0
L -446.6909, 227.7206, 0.1062,  -462.2615, 212.1489, 0.1062,  0, 0, 0
L -462.2615, 212.1489, 0.1062,  -480.1456, 212.1535, 0.1062,  0, 0, 0
L -480.1456, 212.1535, 0.1062,  -480.1435, 199.8682, 0.1062,  0, 0, 0
L -480.1435, 199.8682, 0.1062,  -462.2307, 199.8193, 0.1062,  0, 0, 0
L -462.2307, 199.8193, 0.1062,  -446.2644, 183.8550, 0.1062,  0, 0, 0
L -446.2644, 183.8550, 0.1062,  -430.3337, 183.8553, 0.1062,  0, 0, 0
L -430.3337, 183.8553, 0.1062,  -414.6620, 168.2514, 0.1062,  0, 0, 0
L -414.6620, 168.2514, 0.1062,  -414.6418, 134.3558, 0.1062,  0, 0, 0
