P -352.5470, -975.7023, -2.8519,  0, 127, 127,  3,  Treant
P 1108.5995, 59.8577, 0.2000,  0, 127, 127,  3,  Spider
P 201.1440, 710.9510, 6.9024,  0, 127, 127,  3,  5
P 136.9696, 644.8024, 1.6806,  0, 127, 127,  3,  2.Fen
P 1917.5679, 2810.9607, 0.2000,  0, 127, 127,  3,  4.Gypsies
P 475.9504, -1522.8152, 0.2000,  0, 127, 127,  3,  3.Bandit
P 2709.5608, -1308.4977, 5.4228,  0, 127, 127,  3,  Plumage+key
P 4537.8223, 815.5403, 179.5007,  0, 127, 127,  3,  X
P 4102.4019, 1685.3462, 132.1288,  0, 127, 127,  3,  X
P 12.4306, 887.1227, 10.3118,  0, 127, 127,  2,  Bryan
P 3266.5420, 362.9619, 22.4416,  0, 127, 127,  2,  X
P 3796.9109, 2418.2554, 99.4106,  0, 127, 127,  2,  X
P 3795.5171, 2414.4131, 99.4823,  0, 127, 127,  3,  Vex_O`Kurf
