P -663.8987, 58.1330, 237.0493,  240, 0, 0,  2,  Dawnbreeze*
P -111.0838, -427.9905, 213.3631,  240, 0, 0,  2,  Cloud
P -174.0218, 258.2742, 121.2423,  240, 0, 0,  2,  Daring
P -724.7896, 136.4064, 238.3240,  240, 0, 0,  2,  Dour
P -67.5207, 231.7950, 139.1675,  240, 0, 0,  2,  Horizon*
P -289.6345, 881.7582, 203.7634,  240, 0, 0,  2,  Infinite
P 745.1420, 380.5401, 234.5728,  240, 0, 0,  2,  Silver
P -691.1908, -157.4943, 250.3729,  240, 0, 0,  2,  Starshine*
P 259.2615, 34.9636, 185.2773,  240, 0, 0,  2,  Triumphal*
P 11.8112, -452.6189, 234.8551,  240, 0, 0,  2,  Wild
P 249.0405, -155.2371, 210.2660,  240, 0, 0,  2,  Eastern*
P 284.1241, -1.1220, 185.9991,  240, 0, 0,  2,  Eastern
P 99.5421, -327.0188, 234.8180,  240, 0, 0,  2,  Eastern*
P -329.9535, -454.3902, 194.7433,  240, 0, 0,  2,  Wild
P -446.4161, -397.8815, 188.0974,  240, 0, 0,  2,  Wild
P -20.7890, -307.2834, 233.7224,  240, 0, 0,  2,  Glassbeak
P -390.9981, -466.1060, 187.1147,  240, 0, 0,  2,  Cloud
P 80.6228, 133.4425, 153.1823,  240, 0, 0,  2,  Trumphal
P 405.7009, -43.3471, 185.3567,  240, 0, 0,  2,  Triumphal
P 752.3252, 387.9240, 233.9537,  240, 0, 0,  2,  Silver
P 77.6837, -402.1754, 244.4422,  240, 0, 0,  2,  Glassbeak
P -370.1750, -282.7316, 185.2814,  240, 0, 0,  2,  Glassbeak*
P -339.1036, -297.0459, 187.4141,  240, 0, 0,  2,  Cloud
P -877.1323, -82.5726, 240.3601,  240, 0, 0,  2,  Dour
P -991.3130, -35.5199, 277.4819,  240, 0, 0,  2,  Dawnbreeze
P -253.0998, 190.5007, 103.3445,  240, 0, 0,  2,  Daring
P -367.5602, 104.3374, 90.7918,  240, 0, 0,  2,  Daring
P 31.2797, 286.6175, 141.8814,  240, 0, 0,  2,  Horizon
P -360.0174, 101.7745, 90.7918,  240, 0, 0,  2,  Horizon
P -135.6172, 1144.7769, 231.9066,  240, 0, 0,  2,  Dour
P 57.4302, 1137.6133, 233.8603,  240, 0, 0,  2,  Infinite
P 161.9205, 1110.6155, 231.1864,  240, 0, 0,  2,  Infinite
P -511.5045, -285.6902, 191.5913,  240, 0, 0,  2,  Starshine
P -743.1813, 154.3429, 236.0411,  240, 0, 0,  2,  Starshine
P -727.4335, 561.2736, 174.4344,  240, 0, 0,  2,  Silver
P 141.4273, 1104.0519, 231.2359,  240, 0, 0,  2,  Dawnbreeze
P -709.9598, 629.5016, 171.3524,  0, 0, 0,  1,  Camp
