L -1305.2699, 19.9450, -0.3116,  -1305.2643, -19.9211, -0.3115,  240, 127, 0
L -1299.7775, -19.9480, -0.3114,  -1299.7758, 19.9450, -0.3114,  240, 127, 0
L 2526.8628, -1875.2675, 127.3195,  2538.3804, -1879.3633, 131.4012,  0, 0, 0
L 2520.3218, -1873.7997, 125.4633,  2526.8628, -1875.2675, 127.3195,  0, 0, 0
L 2514.9224, -1871.4987, 125.4504,  2520.3218, -1873.7997, 125.4633,  0, 0, 0
L 2509.1321, -1868.6969, 124.1550,  2514.9224, -1871.4987, 125.4504,  0, 0, 0
L 2506.6631, -1865.8097, 123.1268,  2509.1321, -1868.6969, 124.1550,  0, 0, 0
L 2503.4207, -1858.6143, 122.6354,  2506.6631, -1865.8097, 123.1268,  0, 0, 0
L 2496.7974, -1841.8970, 121.5862,  2503.4207, -1858.6143, 122.6354,  0, 0, 0
L 2496.5027, -1841.1664, 121.6090,  2496.7974, -1841.8970, 121.5862,  0, 0, 0
L 2487.2205, -1836.2249, 120.5808,  2496.5027, -1841.1664, 121.6090,  0, 0, 0
L 2482.4949, -1836.4081, 118.5871,  2487.2205, -1836.2249, 120.5808,  0, 0, 0
L 2479.5237, -1835.7549, 120.3740,  2482.4949, -1836.4081, 118.5871,  0, 0, 0
L 2475.8914, -1833.1404, 120.1958,  2479.5237, -1835.7549, 120.3740,  0, 0, 0
L 2473.5105, -1833.7111, 117.8657,  2475.8914, -1833.1404, 120.1958,  0, 0, 0
L 2467.5164, -1835.5210, 119.3481,  2473.5105, -1833.7111, 117.8657,  0, 0, 0
L 2462.2134, -1838.3528, 118.9346,  2467.5164, -1835.5210, 119.3481,  0, 0, 0
L 2451.9585, -1841.7859, 119.2100,  2462.2134, -1838.3528, 118.9346,  0, 0, 0
L 2447.6426, -1842.2887, 118.6676,  2451.9585, -1841.7859, 119.2100,  0, 0, 0
L 2445.7354, -1842.6532, 116.9607,  2447.6426, -1842.2887, 118.6676,  0, 0, 0
L 2443.3113, -1842.9076, 115.8222,  2445.7354, -1842.6532, 116.9607,  0, 0, 0
L 2441.1282, -1840.9634, 115.5293,  2443.3113, -1842.9076, 115.8222,  0, 0, 0
L 2438.9917, -1844.4048, 115.4100,  2441.1282, -1840.9634, 115.5293,  0, 0, 0
L 2424.6399, -1856.2029, 111.6222,  2438.9917, -1844.4048, 112.7924,  0, 0, 0
